# n	sum_policy	sum_fitness	sum_liquidity	sum_ir	sum_bankruptcy	sum_best_lender	sum_best_num_clients	sum_credit_channels	sum_rationing	sum_leverage
 34	              504.0	 368.76012450950265	 2997753.8541986267	  175.1072670032981	             9521.0	            24916.0	             4688.0	             3281.0	  41078.27913047561	  90.80636101398416
 35	              529.0	 366.31590437995277	  2894483.638306719	   161.304268673086	             9651.0	            23956.0	             4682.0	             3267.0	  42509.32321099386	  91.46801098093758
 36	              491.0	  375.9510535670996	  3107052.454382209	 165.15782827226218	             9508.0	            24711.0	             4683.0	             3262.0	  40776.22875128878	  89.73972167947315
 37	              500.0	    372.38546848449	   3010159.28238999	 177.94254385483902	             9468.0	            24919.0	             4749.0	             3201.0	  42702.23110270863	  92.00685839438493
 38	              502.0	  366.5674024403023	 2934788.2317594434	 137.98303387419512	             9635.0	            23228.0	             4647.0	             3254.0	 43459.585714516514	  90.18678571743212
 39	              473.0	   383.689641195151	  2889417.515034017	 159.90025092604435	             9453.0	            24808.0	             4652.0	             3254.0	 40707.970328097144	  91.50677610175725
 40	              489.0	  376.9516051237151	 3037988.8701938074	 144.47311909668048	             9490.0	            25008.0	             4626.0	             3155.0	   43256.7158332303	  89.99001646346542
 41	              518.0	  361.6053161696102	  3097667.011265112	  213.5520437654047	             9463.0	            25121.0	             4693.0	             3245.0	 42638.273517915266	   89.5457457470283
 42	              488.0	  374.0082384613473	 3000951.4381723218	 179.31679227629888	             9578.0	            24174.0	             4613.0	             3195.0	  42836.02238374637	  92.74669992721137
 43	              540.0	  352.9980366277429	   2993850.86246495	 174.93825860041568	             9475.0	            25897.0	             4687.0	             3174.0	  41806.62347870918	  92.70098159409817
 44	              493.0	 377.56875075778555	  3045766.055835896	  152.5253096410524	             9455.0	            24296.0	             4746.0	             3200.0	  41413.45035445827	   88.8932576411842
 45	              517.0	  363.1914575608925	 3002576.1320076706	  161.9457481236623	             9424.0	            24956.0	             4737.0	             3215.0	 41798.885428819805	  90.41587021717604
 46	              490.0	  370.9122709127428	  2991347.521618401	 159.55421522749964	             9411.0	            24380.0	             4631.0	             3137.0	   42246.7713171023	  93.53281899007334
 47	              505.0	  366.6767487044428	 3015104.7248093304	 190.64678913113778	             9577.0	            23198.0	             4648.0	             3231.0	 42135.243124371475	   92.7737349432601
 48	              506.0	 371.40785378223376	  2990643.319354694	 162.72571350091556	             9274.0	            25429.0	             4689.0	             3120.0	 41235.322134305316	   90.7911533741622
 49	              495.0	 382.09359472876207	   2947356.41133058	 163.57294320315984	             9626.0	            24480.0	             4662.0	             3329.0	 41106.536061766456	  89.21786301755317
