# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# best_lender
 14	                 39	                 13	                 25	                  0	                 25	                  4	                 14	                 24	                 28	                  1	                 45	                  3	                 20	                 48	                  1	                 18	                  3	                 14	                 26	                 37	                 46	                  3	                 28	                 39	                 35	                 22	                 26	                 33	                  6	                  2	                  1	                 28	                 41	                  2	                 20	                  9	                 14	                 10	                 11	                 29	                 39	                 35	                  6	                 33	                 41	                 29	                 28	                  5	                 46	                 42
 15	                 27	                 19	                 25	                 13	                 25	                  8	                 14	                 14	                 36	                 17	                 29	                 13	                 20	                 19	                 18	                 15	                 21	                  7	                 26	                 37	                 17	                 18	                 26	                  2	                 35	                 29	                 12	                 34	                 15	                  8	                  3	                 28	                 13	                 32	                 45	                 36	                 23	                  8	                 11	                 46	                 24	                  9	                 18	                 40	                 19	                 47	                 16	                 20	                 46	                 42
 16	                  4	                 15	                 18	                  7	                 17	                 27	                 31	                 26	                 26	                 37	                 29	                 13	                  6	                 16	                 40	                 39	                 23	                 10	                  3	                 37	                 17	                 18	                 26	                 20	                 16	                 36	                 36	                 19	                 20	                  8	                 20	                 17	                  6	                 32	                 38	                 18	                 32	                 36	                 11	                 46	                 29	                 46	                 46	                  6	                 40	                 47	                 35	                 41	                 20	                 42
 17	                 22	                 36	                 38	                  7	                 25	                 33	                 26	                 19	                 22	                 17	                 14	                 12	                  6	                  3	                 41	                 13	                 38	                 14	                  3	                  7	                 37	                 32	                 44	                 20	                 30	                 36	                 43	                 19	                 28	                 20	                  8	                 38	                 47	                 32	                 38	                 18	                 47	                 36	                 11	                 46	                 29	                 40	                  9	                 43	                 27	                 47	                 19	                 20	                 32	                  2
 18	                  1	                 40	                 26	                 10	                 21	                  1	                 34	                 16	                 45	                 17	                 43	                 15	                  5	                 31	                 35	                 44	                 23	                 16	                 16	                 30	                 17	                 32	                 44	                  4	                 35	                 10	                 43	                 17	                 12	                 48	                 45	                 38	                 47	                 28	                 38	                 18	                 47	                 36	                 11	                 46	                 30	                 36	                 42	                 43	                  0	                 36	                 19	                  5	                  0	                  4
 19	                 23	                  4	                 26	                 23	                 37	                 24	                  9	                 16	                 46	                 17	                  4	                  3	                 45	                 31	                 24	                 45	                 48	                 30	                 40	                 14	                 17	                 16	                 42	                 22	                  1	                 10	                 43	                 17	                 48	                 31	                 39	                  2	                 13	                 26	                 34	                 18	                 28	                  1	                 11	                 46	                 43	                 32	                 21	                  5	                 27	                 36	                 26	                 23	                 35	                  5
 20	                 23	                  5	                 13	                 23	                  2	                  1	                 40	                 16	                 46	                 17	                 45	                 35	                 17	                 29	                 20	                 12	                 24	                 24	                 38	                  5	                 17	                 49	                 42	                 42	                 35	                 27	                 27	                 31	                 35	                 37	                  6	                 38	                  4	                  4	                 47	                  8	                 27	                 18	                 28	                 46	                 30	                  7	                  8	                 31	                 27	                 19	                 26	                 23	                 35	                  5
 21	                 23	                 21	                 13	                  0	                 13	                  4	                 40	                 16	                 46	                 17	                 45	                  3	                 17	                 29	                 39	                 14	                 24	                 20	                  0	                 39	                 24	                 32	                 42	                 22	                 40	                 34	                 27	                 28	                 27	                 42	                 34	                 13	                 43	                 20	                  7	                 18	                 27	                 18	                 28	                 46	                 12	                 13	                  8	                 46	                 34	                 33	                 16	                 28	                 35	                 47
 22	                  2	                 21	                 33	                 31	                  7	                  1	                 40	                  0	                  8	                 17	                 12	                 16	                 17	                 29	                 48	                 36	                 29	                 40	                 31	                  3	                 17	                 26	                 12	                 44	                  7	                 39	                 44	                 31	                 10	                 16	                 49	                 13	                 16	                 27	                 42	                 10	                  8	                 10	                  4	                 20	                 12	                  0	                 28	                 46	                 42	                 33	                 23	                 41	                 35	                 46
 23	                 44	                 21	                  3	                 31	                 13	                 27	                  1	                 33	                  8	                 17	                 12	                 36	                 17	                 29	                 47	                  2	                 29	                 24	                 26	                 24	                  8	                 36	                  1	                  4	                 30	                 26	                 44	                 49	                 41	                 14	                  4	                 20	                 12	                 36	                 23	                 44	                 43	                 26	                  4	                 38	                 12	                 33	                 30	                 12	                 20	                 10	                 26	                 17	                 35	                  2
 24	                 44	                 20	                 27	                 24	                 13	                 21	                  1	                 24	                 14	                 17	                 12	                 18	                 17	                 17	                 49	                  2	                 42	                 24	                 49	                 32	                 40	                 16	                  1	                 45	                  0	                 43	                 44	                  4	                 29	                 35	                 39	                 39	                  7	                 36	                 47	                 10	                 43	                 30	                 42	                 42	                 36	                  0	                 30	                 33	                 11	                 12	                 32	                 47	                 20	                 46
 25	                  4	                 33	                 27	                 24	                 47	                 26	                 15	                 24	                  8	                 11	                 44	                 35	                 11	                 36	                 22	                  3	                 42	                  1	                 24	                 13	                 17	                  4	                 13	                  2	                 32	                 43	                 24	                  7	                 44	                  7	                  7	                 24	                  7	                  5	                 48	                 44	                 45	                 18	                 36	                 24	                 46	                  0	                 30	                  6	                 49	                 12	                  6	                  8	                 30	                 34
 26	                 31	                 26	                  7	                 22	                 13	                 28	                 19	                 24	                 26	                 11	                 24	                 35	                 11	                 44	                 23	                 14	                 45	                  1	                  4	                 17	                 46	                 20	                 17	                  2	                  0	                 26	                 10	                 48	                 40	                 46	                  7	                 17	                  7	                  5	                 11	                 34	                 45	                 18	                 21	                 15	                 46	                 22	                 49	                 16	                 23	                 41	                  9	                  4	                  6	                 41
 27	                 31	                 17	                 27	                 38	                 25	                 33	                  4	                  5	                 28	                 37	                 41	                 40	                 11	                  1	                 23	                  1	                 23	                  1	                 40	                 13	                 46	                 12	                 33	                 28	                  0	                 25	                 31	                 15	                 37	                 44	                 47	                 26	                  7	                  5	                 10	                 44	                 26	                 16	                 13	                 33	                 24	                 42	                 49	                 46	                 21	                 47	                 34	                  8	                 22	                 41
 28	                 31	                 25	                 27	                 38	                 21	                 14	                 40	                 43	                 25	                 11	                 41	                 29	                 11	                 16	                 33	                 27	                 26	                  1	                 27	                 17	                  3	                 16	                 35	                  6	                 41	                 33	                  5	                  5	                  9	                 22	                 24	                 26	                 13	                  6	                 11	                 17	                 30	                 15	                 15	                 33	                 24	                  3	                 49	                 46	                  0	                 48	                  7	                 42	                 45	                 21
 29	                 31	                 42	                  9	                 22	                 21	                 12	                 26	                 48	                 32	                 29	                 41	                 29	                 47	                  7	                 24	                 14	                 26	                  1	                  8	                 21	                 24	                 12	                 10	                 20	                 41	                 45	                 24	                 11	                 16	                 47	                 44	                  8	                 35	                  6	                 11	                 17	                 26	                 15	                 28	                 33	                 46	                 45	                 49	                 46	                  0	                  3	                 36	                 42	                  2	                  3
 30	                 12	                 42	                 40	                 22	                 16	                 12	                 26	                 35	                 11	                  8	                 18	                 36	                 33	                  7	                 18	                 19	                 24	                  8	                 16	                 23	                 40	                 31	                 10	                 11	                 31	                 16	                 18	                 42	                 19	                 37	                 22	                 23	                  7	                 24	                 45	                  9	                 39	                 21	                 36	                  3	                 18	                  3	                 28	                 46	                  9	                 35	                 12	                 15	                 45	                 45
