# t	policy	fitness           	C                    	ir         	bankrupts	bestLenderID	bestLenderClients	creditChannels
# interbank.py C_i0=30 D_i0=135 E_i0=15 L_i0=120 N=50 T=1000 r_i0=0.02 Φ=0.025 Χ=0.015 α=0.1 β=5 μ=0.7 ξ=0.3 ρ=0.3 ω=0.55
 33	0.0	 0.6503192948122833	  2804.385214474948	 0.11578023743288765	  9	                0.88	                 0.1	  4
 34	0.0	 0.5630813878120444	   2779.91808107515	 0.03177148325317316	 12	                0.74	                0.08	  3
 35	0.0	 0.3755467245849019	 2932.6409179741795	 0.12397084488834512	  7	                0.52	                0.08	  4
 36	0.0	 0.4802221557077633	   3116.10780743436	 0.16035853785571078	 11	                0.52	                0.16	  4
 37	0.0	0.26063147337599185	 3157.9752607623604	 0.24595502342594397	  9	                0.24	                0.06	  3
 38	0.0	 0.4428129642916414	 2741.0866932651306	  0.4360602236084576	  8	                0.62	                 0.1	  2
 39	0.0	 0.4546642423175858	 2464.1665891069015	  0.4963735267124099	 10	                0.76	                0.08	  3
 40	0.0	0.48894606680378794	 2689.7624455148994	0.021158822585491167	 14	                0.56	                0.08	  6
 41	0.0	 0.4682945094914917	 2641.1274251745403	  0.0832760990902971	 10	                0.84	                 0.1	  2
 42	0.0	 0.6757913665332912	  2453.001109699179	0.034760611570767236	  8	                0.84	                 0.1	  3
 43	0.0	 0.5404809873574428	  2474.482967811203	 0.03703421486255071	 13	                 0.8	                0.14	  7
 44	0.0	 0.6338883670082897	 2219.0400565684236	 0.03747196466953163	  7	                 0.8	                0.16	  2
 45	0.0	0.40541837549400817	 2378.6939695579563	0.034988317538613686	 12	                0.62	                0.08	  4
 46	0.0	 0.4552868356300973	 2400.4667063180773	 0.11561851202273794	 13	                 0.8	                0.12	  2
 47	0.0	 0.5680010164315239	 2452.6756327378716	  0.2079760724054018	 11	                 0.8	                 0.1	  3
 48	0.0	 0.5453653275394276	  2483.261802481666	  0.1413242890273476	 11	                 0.7	                0.12	  2
 49	0.0	 0.5623131858972341	  2230.112437680742	  0.1297305082357952	 12	                0.82	                 0.1	  4
 50	0.0	 0.6092240712405131	 2438.1512135213156	 0.25444318013235645	 14	                0.34	                 0.1	  5
 51	0.0	 0.5960319174193589	 2706.4012874519967	 0.17960315619696066	 10	                0.34	                 0.1	  2
 52	0.0	  0.584186286024606	 2942.9223596537577	  0.1276619130024061	  9	                0.78	                0.12	  4
 53	0.0	 0.5757010233231129	  3795.993883162721	 0.20005751403961392	 10	                0.24	                0.08	  3
 54	0.0	 0.5663306880706037	 3828.9763729749275	0.021179944082035055	  7	                0.02	                 0.1	  2
 55	0.0	 0.4940314480449339	  4374.439085874274	 0.09975765767878748	  9	                0.48	                0.12	  5
 56	0.0	0.26190260314778796	  4293.767317820779	 0.23700113167640294	 11	                0.48	                0.08	  4
 57	0.0	  0.582545368915662	 3676.2459799031985	 0.04741045241210412	  8	                 0.5	                 0.1	  5
 58	0.0	 0.5495240524324857	 4009.0949177425427	 0.22672205209128374	 12	                0.66	                0.08	  4
 59	0.0	 0.7001271981452538	 3835.6211026298615	 0.06130343571072542	  8	                0.86	                0.08	  2
