# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# best_num_clients
 20	                  4	                  6	                  6	                  6	                  4	                  7	                  4	                  3	                  4	                  5	                  5	                  4	                  5	                  5	                  3	                  4	                  5	                  5	                  5	                  5	                  6	                  4	                  5	                  7	                  3	                  5	                  5	                  5	                  4	                  7	                  4	                  4	                  5	                  4	                  5	                  7	                  4	                  4	                  5	                  4	                  4	                  5	                  4	                  4	                  3	                  7	                  5	                  5	                  6	                  3
 21	                  6	                  5	                  6	                  4	                  3	                  6	                  5	                  5	                  5	                  5	                  5	                  5	                  4	                  4	                  4	                  5	                  3	                  4	                  4	                  6	                  5	                  4	                  5	                  5	                  4	                  5	                  5	                  3	                  4	                  5	                  3	                  4	                  4	                  5	                  6	                  7	                  5	                  5	                  4	                  3	                  4	                  3	                  5	                  5	                  4	                  5	                  6	                  4	                  4	                  5
 22	                  7	                  6	                  5	                  3	                  3	                  7	                  4	                  3	                  4	                  5	                  4	                  4	                  5	                  5	                  3	                  4	                  4	                  5	                  7	                  6	                  6	                  5	                  6	                  5	                  4	                  5	                  5	                  4	                  5	                  6	                  5	                  4	                  4	                  4	                  4	                  5	                  4	                  4	                  7	                  5	                  5	                  4	                  4	                  5	                  5	                  5	                  4	                  4	                  3	                  3
 23	                  4	                  5	                  5	                  6	                  5	                  4	                  4	                  5	                  6	                  4	                  3	                  6	                  3	                  5	                  3	                  4	                  4	                  5	                  5	                  5	                  5	                  6	                  6	                  6	                  4	                  6	                  6	                  3	                  3	                  3	                  4	                  5	                  4	                  4	                  4	                  4	                  5	                  4	                  7	                  4	                  4	                  4	                  6	                  4	                  6	                  4	                  4	                  7	                  4	                  3
 24	                  4	                  6	                  5	                  4	                  5	                  4	                  4	                  5	                  7	                  4	                  3	                  5	                  4	                  5	                  4	                  3	                  4	                  4	                  4	                  4	                  7	                  7	                  4	                  5	                  4	                  7	                  5	                  4	                  4	                  4	                  5	                  5	                  3	                  5	                  4	                  3	                  4	                  4	                  6	                  4	                  4	                  5	                  5	                  4	                  6	                  5	                  4	                  4	                  4	                  5
 25	                  5	                  4	                  6	                  4	                  4	                  5	                  5	                  6	                  6	                  4	                  3	                  5	                  3	                  5	                  5	                  7	                  6	                  5	                  4	                  4	                  5	                  3	                  5	                  4	                  4	                  5	                  5	                  3	                  5	                  4	                  5	                  4	                  4	                  4	                  4	                  4	                  4	                  5	                  8	                  6	                  4	                  4	                  5	                  4	                  6	                  6	                  4	                  3	                  4	                  6
 26	                  4	                  4	                  5	                  5	                  4	                  5	                  6	                  5	                  7	                  3	                  3	                  3	                  5	                  6	                  4	                  6	                  6	                  9	                  4	                  5	                  6	                  4	                  4	                  6	                  5	                  5	                  5	                  5	                  4	                  5	                  5	                  4	                  4	                  5	                  6	                  3	                  5	                  7	                  4	                  3	                  4	                  3	                  7	                  6	                  6	                  7	                  4	                  5	                  4	                  7
 27	                  4	                  5	                  5	                  7	                  4	                  3	                  4	                  4	                  5	                  5	                  4	                  3	                  6	                  5	                  5	                  7	                  6	                  7	                  5	                  4	                  5	                  5	                  3	                  4	                  5	                  4	                  6	                  4	                  4	                  5	                  6	                  5	                  5	                  4	                  5	                  4	                  5	                  7	                  4	                  4	                  5	                  4	                  4	                  4	                  6	                  6	                  6	                  4	                  5	                  8
 28	                  4	                  4	                  6	                  7	                  4	                  4	                  5	                  4	                  4	                  4	                  3	                  4	                  3	                  5	                  5	                  6	                  4	                  6	                  5	                  4	                  4	                  5	                  4	                  3	                  5	                  4	                  4	                  5	                  3	                  4	                  3	                  6	                  4	                  5	                  6	                  4	                  6	                  4	                  3	                  4	                  4	                  6	                  4	                  4	                  6	                  6	                  6	                  4	                  4	                  5
 29	                  4	                  4	                  5	                  4	                  6	                  4	                  4	                  5	                  4	                  4	                  4	                  4	                  4	                  5	                  4	                  8	                  5	                  4	                  5	                  4	                  6	                  4	                  5	                  4	                  3	                  6	                  4	                  5	                  3	                  4	                  4	                  5	                  5	                  4	                  6	                  4	                  4	                  3	                  5	                  3	                  3	                  5	                  3	                  4	                  6	                  4	                  5	                  6	                  4	                  5
 30	                  4	                  4	                  5	                  4	                  6	                  5	                  5	                  5	                  4	                  5	                  3	                  4	                  4	                  4	                  4	                  6	                  5	                  4	                  5	                  5	                  5	                  3	                  5	                  6	                  4	                  5	                  3	                  6	                  3	                  3	                  5	                  5	                  4	                  5	                  5	                  3	                  4	                  4	                  5	                  3	                  4	                  3	                  4	                  3	                  5	                  4	                  3	                  4	                  3	                  3
 31	                  4	                  6	                  6	                  5	                  5	                  4	                  4	                  3	                  4	                  4	                  4	                  4	                  6	                  4	                  5	                  5	                  6	                  4	                  7	                  4	                  4	                  7	                  5	                  4	                  5	                  5	                  5	                  5	                  4	                  4	                  5	                  5	                  3	                  4	                  3	                  5	                  5	                  4	                  4	                  5	                  5	                  4	                  4	                  4	                  5	                  5	                  4	                  3	                  5	                  5
 32	                  4	                  9	                  6	                  5	                  5	                  4	                  4	                  3	                  6	                  5	                  4	                  5	                  5	                  6	                  5	                  4	                  5	                  4	                  4	                  4	                  4	                  4	                  5	                  3	                  7	                  5	                  4	                  5	                  4	                  4	                  5	                  7	                  5	                  4	                  4	                  4	                  5	                  4	                  6	                  6	                  4	                  6	                  4	                  4	                  4	                  4	                  4	                  5	                  4	                  4
 33	                  6	                  8	                  5	                  5	                  3	                  4	                  3	                  4	                  4	                  5	                  4	                  4	                  4	                  7	                  5	                  5	                  5	                  3	                  5	                  6	                  6	                  3	                  4	                  4	                  5	                  5	                  4	                  6	                  5	                  4	                  9	                  7	                  3	                  4	                  6	                  5	                  5	                  5	                  8	                  5	                  3	                  4	                  5	                  3	                  5	                  6	                  6	                  5	                  4	                  5
 34	                  4	                  4	                  5	                  4	                  3	                  4	                  4	                  7	                  5	                  4	                  5	                  4	                  4	                  4	                  7	                  6	                  5	                  3	                  4	                  7	                  5	                  4	                  5	                  4	                  4	                  4	                  4	                  5	                  4	                  6	                  3	                  7	                  7	                  7	                  6	                  5	                  5	                  3	                  5	                  5	                  5	                  5	                  4	                  4	                  5	                  5	                  4	                  4	                  4	                  4
