# n	sum_policy	sum_fitness	sum_liquidity	sum_ir	sum_bankruptcy	sum_best_lender	sum_best_num_clients	sum_credit_channels	sum_rationing	sum_leverage
 13	              505.0	  360.0189528566929	  3266880.661510618	 183.08207260470945	             9516.0	            23716.0	             4697.0	             3213.0	  40898.73453546633	  91.51607833222486
 14	              507.0	 362.02820566616913	 3138516.7678686343	  180.6277024770834	             9442.0	            25080.0	             4728.0	             3179.0	  41236.16365727749	  92.09594709779681
 15	              510.0	  369.1817199536609	  2947980.702218228	 141.92231919331687	             9570.0	            24840.0	             4725.0	             3303.0	  42599.69235874769	  89.86426768803034
 16	              490.0	 369.92369976232897	  3048482.608231199	 161.62367998051374	             9606.0	            25083.0	             4654.0	             3244.0	    42250.429409153	  90.80647841932357
 17	              479.0	 386.83538647469555	 3077961.9885250577	  160.2109098449997	             9408.0	            25304.0	             4723.0	             3259.0	  40959.79247863577	   90.9486971090104
 18	              493.0	  374.4767238793641	 3118044.4576680316	 163.43010487787407	             9417.0	            26049.0	             4662.0	             3231.0	  41300.29787015774	  91.17561871540475
 19	              475.0	 380.40647355634354	  3248525.691941243	 161.24864220560713	             9264.0	            24503.0	             4618.0	             3150.0	  41461.74236756022	   90.8972062874614
 20	              500.0	  358.1385225632889	  3289307.928605361	  193.0632348231995	             9501.0	            24457.0	             4686.0	             3194.0	  41900.60058744047	  89.95894831003417
 21	              510.0	  358.5761014714462	 3018536.3775479393	  151.4244904157093	             9552.0	            23608.0	             4674.0	             3164.0	   42191.5368899293	  90.82614280973031
 22	              495.0	   367.233015961361	 3034887.8913459554	  157.2428460605129	             9665.0	            24249.0	             4629.0	             3239.0	 43278.086578822484	  91.32239089575341
 23	              505.0	   363.099500134393	  3173040.487920468	 169.31072556776803	             9233.0	            23988.0	             4734.0	             3066.0	  40563.90157374852	  90.99086661893384
 24	              478.0	 376.05788983288056	  3054453.948677056	  163.5539814584802	             9392.0	            24913.0	             4684.0	             3190.0	  41057.87197541433	  91.84915219739146
 25	              476.0	  379.3392290256516	  2993015.151284686	  171.6030835242617	             9545.0	            24280.0	             4638.0	             3188.0	  42341.73911008135	  92.00700067737694
 26	              520.0	  368.9720438103567	  2994718.509956936	  167.1006349776432	             9395.0	            23690.0	             4705.0	             3251.0	  41587.92881487326	  90.00827231074739
 27	              514.0	 367.71912513424024	  2838380.985815619	 161.02765633082657	             9687.0	            24622.0	             4743.0	             3243.0	  43263.05568083537	  94.24611828288688
 28	              521.0	  362.0680597234104	 2980460.3460734924	 149.33419531218598	             9676.0	            25453.0	             4652.0	             3354.0	  41695.66450761472	  89.05345594406015
 29	              503.0	  369.8342207675561	  3090050.569546628	 170.81205971842596	             9316.0	            24495.0	             4762.0	             3207.0	  40956.82655612273	    89.327173860502
 30	              485.0	  379.7074943008133	 3011270.6983900294	 155.27803995011672	             9437.0	            24235.0	             4638.0	             3149.0	 42892.381252968284	   91.6034265373371
 31	              502.0	  369.9544431785411	  3083706.501473344	 161.72067537157184	             9311.0	            25258.0	             4684.0	             3162.0	  42617.32953218022	  89.65138587409912
 32	              492.0	  376.6687873948222	  3140453.611471402	  151.0060539366045	             9412.0	            24272.0	             4689.0	             3239.0	  40918.38484008577	  89.62817249159944
 33	              507.0	  364.6426393655502	 2873678.8491948396	 156.67358827207994	             9682.0	            25373.0	             4579.0	             3241.0	  44291.03044913131	  91.60604588513308
 34	              490.0	  377.0637212246683	 2930516.2141984715	  144.7254251641603	             9577.0	            25420.0	             4796.0	             3266.0	  42696.76299892925	  93.76150654133677
 35	              491.0	 373.17845830054114	 2911228.3116613002	  171.0027017872032	             9668.0	            23984.0	             4683.0	             3227.0	  43555.54228329371	  91.70998195896041
 36	              493.0	 372.85279863097287	 3117466.4221942704	  182.8472842422869	             9313.0	            24931.0	             4630.0	             3191.0	   41742.1323272022	     89.64843580278
 37	              481.0	 375.42085443974787	 2994576.9198215306	 177.40481610911831	             9664.0	            24921.0	             4674.0	             3245.0	  42505.40114960657	  92.43971818138992
 38	              476.0	  384.0265915733077	   3015226.41604664	 168.83883036718944	             9550.0	            24260.0	             4620.0	             3264.0	  42004.77701710558	  92.09811759096178
 39	              511.0	   372.627475978372	  3013998.001473165	 176.89581460662643	             9498.0	            25264.0	             4605.0	             3243.0	 41899.373830483535	  90.12309527226728
 40	              507.0	 368.58305633897317	  3158514.472257231	 161.75542733619534	             9560.0	            25516.0	             4633.0	             3162.0	  41283.36561937211	  90.45780417213585
 41	              526.0	  360.6468825577146	  3060203.405825836	 160.53690433050534	             9410.0	            24760.0	             4656.0	             3329.0	  41292.24946773751	  87.65636666669967
 42	              491.0	 369.74337455893624	  3149657.066844371	 174.39972751892728	             9486.0	            24717.0	             4756.0	             3244.0	  41672.28789178534	  90.40314665129272
 43	              515.0	  356.3867535674238	 3068201.7242097626	 152.29400349380512	             9569.0	            25774.0	             4649.0	             3184.0	  43330.07667967797	   91.8637049054808
 44	              499.0	  367.5955560516033	  3066035.259953409	 159.85558842909418	             9503.0	            24249.0	             4694.0	             3372.0	  40537.93853447731	  89.89091903232298
 45	              487.0	 368.78464412880226	 3220706.8851565695	 177.25394450687537	             9355.0	            25083.0	             4616.0	             3142.0	  41210.18098076563	  93.14360496757074
 46	              502.0	  365.5773111090795	  2980404.947507863	  171.0905917365632	             9448.0	            23921.0	             4660.0	             3199.0	   40729.4818297796	   92.7676685121072
 47	              497.0	  373.8664674632476	  2925547.025223972	 152.87918523576425	             9570.0	            26070.0	             4659.0	             3207.0	  41595.05516086151	  90.97287969040728
 48	              503.0	    375.09604930203	 3000029.0280601885	 157.64734808518446	             9405.0	            24164.0	             4714.0	             3197.0	 41543.059279585555	  90.90488124026633
 49	              503.0	  369.7167468502921	 2927339.3033140837	 153.60511037444155	             9681.0	            25995.0	             4669.0	             3238.0	  43288.38899225561	  92.29871478748252
