# n	sum_policy	sum_fitness	sum_liquidity	sum_ir	sum_bankruptcy	sum_best_lender	sum_best_num_clients	sum_credit_channels	sum_rationing	sum_leverage
 17	              172.0	 505.34637632709536	  3115375.346545386	 139.12668142954206	             9333.0	            23740.0	             4849.0	             3179.0	 41274.897930527906	  96.69515241849689
 18	              181.0	 499.45153371195903	 3097776.9988279273	 167.14742223427712	             9519.0	            24993.0	             4791.0	             3187.0	 41891.123360332254	  97.46592282330845
 19	              148.0	  526.8622458336746	 2991985.8796891733	  138.5868980353866	             9466.0	            25039.0	             4687.0	             3163.0	 41768.005314295464	  96.99162450334882
 20	              162.0	  521.2301877014623	 3006589.9231491555	 164.33453271333192	             9652.0	            25189.0	             4749.0	             3348.0	  42738.51900749714	     95.36685789041
 21	              159.0	 500.68744632703965	  3277517.438580545	 150.81312435812532	             9500.0	            24013.0	             4723.0	             3203.0	 42129.707085651775	   94.9600216995786
 22	              172.0	  505.8439405914588	  2980646.932918874	  129.7684192139804	             9798.0	            24354.0	             4716.0	             3197.0	   45465.2410203086	  95.58009360768779
 23	              165.0	  496.1853843247125	 3052612.5130826356	  148.9777558039874	             9466.0	            25130.0	             4736.0	             3134.0	   42233.7137718653	  97.07780047578102
 24	              183.0	  486.3883800771406	  3075058.991190288	  158.3320880261265	             9458.0	            24548.0	             4743.0	             3260.0	  41458.96232231909	  95.94100590290809
 25	              168.0	  504.2396252270467	  3246423.902406825	 134.61406033456754	             9420.0	            25015.0	             4709.0	             3284.0	   41167.5591311039	  94.53161038298646
 26	              166.0	  507.4821217291032	 3316175.3458576994	 133.84238662548478	             9279.0	            24349.0	             4755.0	             3130.0	 41546.761455650376	   95.2841064743786
 27	              179.0	   494.292195065409	  3199040.277611732	 143.24943020031802	             9503.0	            23804.0	             4737.0	             3323.0	  40578.60223148021	  97.72983833812768
 28	              174.0	 502.45889877642617	 3122363.4262343845	 156.92126893719077	             9595.0	            24011.0	             4762.0	             3164.0	   42305.3562018841	  98.86886056922798
