# t	policy	fitness           	C                    	ir         	bankrupts	bestLenderID	bestLenderClients	creditChannels
# interbank.py C_i0=30 D_i0=135 E_i0=15 L_i0=120 N=50 T=1000 r_i0=0.02 Φ=0.025 Χ=0.015 α=0.1 β=5 μ=0.7 ξ=0.3 ρ=0.3 ω=0.55
  0	1.0	                0.0	  1995.272093182967	0.020000000000000007	 12	                0.86	                0.06	  4
  1	1.0	 0.3742849084077241	  2057.396382420866	 0.02041381012699347	 11	                 0.7	                0.12	  4
  2	1.0	 0.2695818846707195	 1999.4239431669992	0.059314590097979944	 13	                 0.7	                0.14	  6
  3	1.0	0.22286750413394116	 2387.8473810523083	 0.04166764611975106	 13	                0.52	                 0.1	  6
  4	1.0	 0.1732820122883258	 2645.6194393504056	 0.06168369951303652	 11	                0.32	                0.08	  6
  5	1.0	 0.2137636779075992	  2409.678118223949	  0.1433266482968134	 11	                0.68	                0.08	  4
  6	1.0	0.26267140293996083	 2677.3643328496255	 0.12639280485528007	  7	                0.98	                0.08	  3
  7	1.0	 0.2331316271954171	 2344.0225732328863	  0.1418657158534799	 11	                0.64	                 0.1	  4
  8	1.0	0.17885729438239728	 2532.9049859027737	 0.26175681061434586	  9	                0.64	                 0.1	  3
  9	1.0	0.14300077753218768	 2384.4961444166643	 0.18621132184937556	 12	                0.76	                0.08	  2
 10	1.0	  0.187694911836208	 2099.3889391288008	 0.17347128181791083	  8	                0.72	                0.12	  2
 11	1.0	0.35356112022936126	  2068.664671885294	 0.07106297483406424	  7	                0.72	                 0.1	  4
 12	1.0	 0.2376641531821465	  2136.462929382705	  0.0980178676166893	  9	                0.64	                0.08	  5
 13	1.0	0.17691767349703233	  2506.113752534006	 0.19801673247058457	 10	                0.38	                0.12	  3
 14	1.0	0.13340716561922172	   2512.12252003013	 0.22617194240966187	 11	                0.92	                 0.1	  5
 15	1.0	 0.1841542337059347	  2898.102383218112	  0.2599030909039185	  4	                 0.0	                 0.1	  3
 16	1.0	 0.2738765892949045	  3005.247265885273	 0.14774767277353995	  7	                0.08	                0.12	  2
 17	1.0	 0.2540294688403899	  3208.003101879382	  0.7398049422701548	 11	                0.08	                 0.1	  4
 18	1.0	0.19125417565455907	  3504.725659362597	  0.1832987211632387	 11	                 0.1	                0.08	  3
 19	1.0	0.22240096892895717	 3166.8040491443226	  0.2191332951081786	  9	                 0.1	                 0.1	  0
 20	1.0	0.26266310818142286	  3471.101858195806	 0.13930743648624536	  8	                 0.1	                0.12	  5
 21	1.0	0.18242510330843476	 3620.1159547637935	 0.04909604044038922	  7	                0.44	                 0.1	  2
 22	1.0	0.16869845472113013	 3625.3778306951453	0.051959116737876315	  6	                0.66	                0.12	  1
 23	1.0	0.14660006324079766	 3692.0981198376085	0.051720721343999194	 11	                0.66	                0.14	  6
 24	1.0	 0.1698086307921993	  3263.715442129848	0.024481888133053326	 11	                0.66	                0.16	  1
 25	1.0	0.16389994332143545	  3325.306278776836	 0.07333753189602561	  8	                0.66	                0.14	  2
 26	1.0	 0.1487774231324849	 3371.8153907045557	  0.0882833997869983	  7	                0.66	                0.16	  2
 27	1.0	0.09162641819386697	  3126.346481639282	 0.09728051539761554	 15	                0.66	                0.14	  4
 28	1.0	0.13864276782090232	   3228.35992248459	 0.04004251675933503	  8	                0.66	                0.16	  2
 29	1.0	0.11726194957072444	 3279.9871402809267	 0.03537731936798925	  9	                0.66	                0.16	  1
 30	1.0	 0.0813569141924131	 3112.9080853597516	 0.23977033132305922	 11	                0.66	                0.12	  2
 31	1.0	 0.0955523475914004	  3529.570277986256	 0.21892301032588515	  8	                0.66	                0.12	  3
 32	1.0	0.08744458826484135	   3810.32352605657	 0.12756738782092217	  8	                0.66	                0.16	  1
 33	1.0	0.10629907867165932	 3668.7967773563355	 0.14814689128692118	 11	                0.66	                0.16	  5
 34	1.0	 0.1267493412253273	 3719.3156537914488	  0.2281521778959781	 10	                0.66	                0.14	  5
 35	1.0	0.11135522074097601	  3772.723729808546	  0.3155307759994244	  8	                0.66	                0.14	  5
 36	1.0	0.16358422662960398	 3601.0378208876673	  0.3097111619309796	  7	                0.66	                0.14	  2
 37	1.0	0.18450239770408472	  2955.650904493058	 0.24593753148411046	  5	                0.66	                0.16	  0
 38	1.0	 0.1581146985543311	 2837.4790453320447	    0.64865004208763	  8	                0.66	                0.18	  3
 39	1.0	0.20294141508302577	 2788.8271050514227	  0.1090607542009021	  7	                0.66	                0.18	  4
 40	1.0	0.22485094865389357	 2864.6158000119644	 0.15231837716854468	  9	                0.66	                0.14	  1
 41	1.0	 0.1341814112118353	 3075.2510235447667	 0.29703331408339756	 11	                 0.1	                0.08	  4
 42	1.0	0.12174153890059809	  3108.279507063786	  0.2977012319728121	  4	                0.84	                 0.1	  2
 43	1.0	0.16776861869592935	 3068.9118498512753	  0.3441015182952531	 10	                0.84	                0.08	  4
 44	1.0	0.15309937072099056	 2914.8813044998146	 0.25464376040485964	 10	                 0.6	                0.08	  3
 45	1.0	 0.1940409248960491	  2761.005967873386	 0.03644243019818602	  4	                0.84	                 0.1	  4
 46	1.0	 0.2061675161132694	 2323.2926381642897	 0.05150343989879131	 11	                0.84	                 0.1	  6
 47	1.0	0.17747984905541134	 2379.5957421562453	  0.4309131116736611	 12	                0.38	                 0.1	  5
 48	1.0	0.19808990569032264	 2379.6199315601257	 0.41975367405526526	 11	                0.84	                0.12	  4
 49	1.0	 0.2408168827702698	  2587.650884136433	 0.42606669169166467	  7	                0.28	                 0.1	  4
 50	1.0	0.20963212411453774	  3063.002131041455	 0.36727706763111306	 10	                0.28	                0.16	  4
 51	1.0	0.19257653531714747	 3030.0907374021094	  0.3548071566896512	  9	                0.28	                0.14	  1
 52	1.0	0.19641219589601117	 2939.1756527489188	 0.33874384441945593	  5	                0.28	                0.18	  4
