# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# best_lender
 14	                 30	                 38	                 37	                 11	                 25	                  4	                 48	                  7	                  9	                 27	                  7	                  9	                 16	                 47	                 35	                 48	                 45	                 49	                 46	                 28	                  8	                 30	                 42	                 42	                 47	                 11	                 22	                  4	                  1	                  1	                 34	                 19	                 30	                 14	                 26	                  6	                 14	                 31	                 37	                 20	                 46	                 30	                  8	                 49	                  8	                 46	                  7	                 41	                 15	                  4
 15	                 10	                 16	                 37	                  0	                  7	                  4	                 27	                 44	                  9	                 12	                 28	                 39	                 14	                 47	                 35	                 36	                 39	                 49	                  3	                  8	                  6	                 44	                 19	                 41	                 47	                 21	                 22	                 26	                  6	                  2	                  3	                 19	                 30	                 14	                 47	                 36	                 25	                 21	                 28	                 47	                 40	                 36	                 19	                 49	                  8	                  4	                 11	                 35	                 15	                 28
 16	                 23	                 15	                 37	                 49	                 20	                  4	                  8	                 44	                  3	                 36	                 28	                 26	                 26	                 47	                 35	                 43	                 38	                 28	                 15	                 39	                 45	                 44	                 11	                 41	                 47	                 21	                 13	                 17	                  6	                 46	                 20	                  3	                 30	                 47	                 26	                  2	                 26	                 33	                 28	                  9	                 34	                 36	                 37	                 22	                  8	                 14	                 45	                 41	                 37	                 22
 17	                  5	                  9	                 10	                 49	                 13	                  1	                  0	                 44	                 47	                 12	                 12	                 13	                 26	                  4	                 35	                  2	                 38	                  6	                 21	                  7	                 45	                 25	                 25	                 29	                 47	                 24	                 10	                  9	                  6	                 22	                 20	                 19	                 44	                  2	                 48	                  2	                 26	                  6	                 12	                 39	                 14	                  7	                 16	                  2	                  8	                 36	                 26	                  2	                 37	                 11
 18	                  5	                  9	                 13	                  9	                 35	                 21	                 47	                 46	                 10	                 44	                 19	                 46	                 26	                  4	                  2	                 47	                 47	                  6	                  1	                 44	                  8	                 25	                 20	                 29	                 47	                 31	                 40	                 35	                 22	                 16	                 22	                 44	                 13	                  9	                 48	                  2	                 26	                  6	                 44	                 39	                 14	                 31	                  4	                  6	                 36	                 47	                  8	                  9	                 18	                 38
 19	                  3	                 40	                 13	                 27	                 13	                 24	                  0	                 18	                 18	                 22	                 19	                 40	                 25	                 23	                 29	                  8	                  6	                  6	                 38	                  2	                 47	                 44	                  4	                 29	                 21	                 16	                 20	                 23	                  8	                 30	                 12	                 29	                 49	                 32	                 14	                 47	                 31	                  5	                 45	                 13	                  8	                 33	                  2	                  6	                  2	                 47	                  4	                  9	                  3	                  4
 20	                 35	                 40	                 13	                  9	                 32	                 24	                 35	                 47	                 16	                 12	                 23	                 24	                 46	                  9	                 31	                 33	                  4	                  6	                 44	                  2	                 23	                 44	                  4	                 29	                 34	                 16	                 20	                 43	                 21	                 30	                 47	                 24	                 39	                 14	                  1	                 47	                 41	                 16	                  8	                 45	                 35	                 20	                 18	                 42	                 24	                 47	                 39	                  0	                 45	                 29
 21	                 30	                 40	                 13	                 26	                 44	                  1	                 35	                 10	                 25	                 12	                  5	                 36	                 19	                 28	                 20	                 23	                 32	                 28	                 41	                 31	                 17	                 25	                 17	                 49	                 39	                 34	                 23	                 43	                 29	                 30	                 34	                 24	                 39	                 48	                  1	                 47	                 31	                  5	                  0	                  9	                  0	                 11	                  3	                 42	                 43	                 11	                  9	                 32	                  9	                 26
 22	                 30	                 40	                 13	                 38	                 29	                  1	                  6	                 23	                  7	                 12	                 16	                 12	                 37	                 30	                 24	                 15	                  5	                 28	                 16	                 38	                  3	                 38	                 21	                  2	                 34	                  5	                 16	                 44	                 40	                 30	                 49	                 35	                 39	                 10	                  1	                 47	                  3	                 21	                  9	                 37	                  7	                 28	                  7	                  8	                 22	                 41	                 39	                 36	                 16	                 22
 23	                 30	                 13	                  3	                 37	                 33	                 47	                  4	                 32	                 25	                 35	                 27	                 17	                 49	                 26	                 31	                 23	                 12	                 28	                 16	                 44	                 46	                 13	                 42	                  2	                 44	                  5	                 27	                 13	                 44	                 47	                 21	                 35	                 17	                 31	                 39	                  8	                  3	                 21	                  2	                 37	                  2	                 41	                  7	                  5	                 11	                 25	                 48	                 43	                 36	                 47
 24	                 30	                 24	                  3	                 38	                 14	                 34	                 34	                 32	                 49	                 22	                 30	                 17	                 28	                 26	                 19	                 18	                  5	                 17	                 16	                 12	                 39	                 13	                 32	                  8	                 44	                 27	                 27	                 20	                  2	                 17	                  9	                 35	                 41	                 41	                 46	                  6	                  9	                  4	                  2	                 37	                  3	                 44	                  7	                 46	                 22	                 18	                 48	                 11	                 33	                  0
 25	                  8	                 24	                 39	                 37	                 18	                 34	                 22	                 32	                 25	                 23	                 37	                 13	                  6	                 41	                 19	                  2	                 32	                 26	                 49	                 37	                  9	                 44	                 18	                 30	                 44	                  5	                 45	                 25	                  9	                 18	                 41	                 35	                 23	                  7	                 24	                  6	                  9	                 21	                  2	                 10	                 31	                 17	                  7	                 17	                 22	                 35	                 39	                 36	                 37	                 13
 26	                 22	                 24	                 39	                  2	                 17	                 34	                 45	                 32	                 25	                 28	                 45	                  7	                 44	                 41	                  5	                  4	                 30	                 26	                 20	                  7	                  9	                 27	                 49	                  8	                 43	                 36	                 45	                  6	                 27	                 17	                 41	                 37	                 23	                 41	                 31	                 38	                 25	                 13	                 46	                 28	                 31	                 42	                  7	                 14	                 17	                 35	                 39	                 33	                 33	                  0
 27	                 49	                 24	                  3	                  2	                 20	                 40	                 22	                 25	                 14	                 42	                 15	                  7	                 48	                  1	                 24	                  4	                  7	                 26	                 49	                 45	                  9	                 35	                 19	                 27	                  0	                 13	                 10	                 37	                 22	                  9	                 41	                 37	                 21	                 42	                 29	                 47	                 14	                 47	                 49	                 49	                 17	                 23	                 26	                 14	                 45	                 35	                 46	                 25	                 16	                  0
 28	                 49	                 24	                 11	                  2	                 32	                 22	                 31	                 25	                 18	                 42	                  4	                 34	                 20	                  1	                 14	                  5	                 39	                 26	                 49	                 34	                 14	                 23	                 30	                 27	                 18	                 13	                 10	                 21	                 24	                  1	                 23	                  3	                 22	                 30	                 29	                  7	                 14	                  2	                 30	                 47	                 35	                 30	                 15	                 29	                  5	                 21	                 46	                 23	                 16	                 14
 29	                 16	                  7	                 35	                 41	                 32	                 49	                 46	                  6	                 23	                 15	                 12	                 44	                 28	                 41	                 14	                  5	                 25	                 34	                 49	                 13	                 45	                 23	                  6	                 35	                 33	                 47	                 10	                  3	                 48	                  1	                  3	                  3	                 17	                 31	                 29	                  4	                  1	                 48	                 21	                  9	                 15	                 34	                 44	                 35	                  6	                 27	                 45	                 11	                 16	                 10
 30	                 29	                 45	                 16	                 49	                 22	                 49	                 49	                  6	                 49	                 28	                 28	                 46	                  5	                 16	                 41	                  5	                  0	                 21	                 49	                  0	                 45	                 44	                 20	                 20	                 42	                 15	                 25	                  3	                 30	                 28	                 12	                  3	                 16	                 13	                 45	                 13	                  0	                 37	                 39	                  1	                 21	                 25	                 36	                 32	                 18	                 36	                 44	                  1	                 16	                 44
 31	                 44	                 45	                  4	                 46	                 30	                  4	                 49	                 47	                  9	                  5	                  7	                 48	                  5	                 27	                 47	                  5	                  0	                 47	                 49	                 19	                 14	                 21	                 17	                 20	                 11	                 15	                 39	                 28	                 24	                 28	                  3	                 22	                 36	                 26	                 29	                 45	                 49	                 47	                 39	                 18	                 49	                  2	                  3	                 10	                 18	                 36	                 24	                 26	                 11	                 35
 32	                 48	                 45	                  4	                 46	                 20	                 28	                 22	                 47	                  8	                 47	                 43	                 39	                  1	                  9	                  4	                 38	                  3	                 22	                 44	                 10	                 14	                  9	                 17	                 13	                 15	                 42	                 25	                 22	                 23	                 26	                  3	                 36	                  5	                 43	                 49	                 37	                 18	                 19	                 41	                 17	                 36	                  1	                  7	                 10	                 18	                  7	                 41	                  8	                 19	                 44
 33	                 48	                 45	                 18	                 48	                 18	                  0	                 49	                 47	                 29	                 47	                 43	                  2	                  1	                  9	                 17	                 28	                 25	                 32	                 30	                 25	                 38	                 22	                 17	                  8	                 11	                  8	                 31	                 22	                  5	                 49	                  3	                  3	                 41	                 46	                  0	                  2	                 18	                 13	                 41	                 11	                  6	                  2	                 17	                  7	                 18	                 42	                 23	                  8	                 19	                 15
 34	                 38	                 36	                 41	                 35	                 30	                  9	                 46	                 20	                 44	                 41	                 18	                 36	                  5	                 40	                 17	                 28	                 25	                 32	                 18	                 14	                 38	                 20	                  0	                 18	                 14	                 42	                 25	                 19	                 24	                 49	                  9	                  3	                 33	                 46	                  0	                 47	                 18	                 15	                 41	                 11	                 47	                 43	                 44	                  7	                  7	                 34	                 14	                 48	                 19	                 22
 35	                 44	                 25	                  4	                 18	                 40	                  9	                 46	                 20	                 42	                 30	                 28	                 42	                 31	                 29	                 17	                 28	                  9	                 15	                 47	                 14	                 24	                 28	                 16	                 44	                 14	                 16	                 43	                 19	                 24	                 49	                 32	                 36	                  8	                 46	                  0	                 37	                 21	                  4	                 18	                 31	                 10	                 39	                  0	                  7	                  7	                 42	                 10	                 11	                  8	                 41
 36	                  0	                 25	                 12	                 28	                 40	                 42	                 13	                  3	                 36	                 37	                 18	                  2	                 31	                 33	                 17	                 28	                 39	                  6	                 34	                 36	                 15	                 39	                 17	                 34	                 43	                 16	                 43	                 19	                 43	                 27	                  6	                  0	                 29	                 46	                  1	                 32	                 21	                 10	                 25	                 25	                 19	                 39	                  7	                  7	                 37	                 46	                 41	                 35	                  5	                 46
 37	                 41	                 26	                 14	                 43	                 48	                 47	                 13	                 47	                 32	                 24	                 49	                 25	                 10	                 18	                 39	                 28	                 39	                 45	                  9	                 47	                 15	                 22	                 17	                 34	                 12	                 27	                  3	                 37	                 17	                 27	                 34	                  3	                 42	                 46	                  0	                  0	                  0	                 11	                  2	                 25	                 45	                 25	                  7	                 27	                 29	                 21	                 41	                 17	                  2	                  4
 38	                 38	                 31	                 17	                 42	                 48	                 47	                  6	                 19	                  6	                 40	                 41	                 27	                  6	                 21	                 45	                 16	                 25	                 48	                 43	                 47	                 43	                  1	                 30	                 45	                 19	                 11	                 12	                  6	                  6	                 27	                  6	                 46	                 42	                 46	                 47	                 37	                 22	                 11	                 24	                 32	                  6	                 47	                 39	                  3	                  0	                 22	                 47	                  7	                  2	                  8
 39	                 31	                 41	                  4	                  1	                 48	                 12	                 31	                 19	                 46	                 22	                 43	                 26	                  6	                 18	                 10	                 16	                 45	                 15	                  9	                 18	                 43	                  1	                 31	                 24	                 19	                 17	                  5	                 27	                 10	                 22	                 49	                 17	                 25	                 46	                 46	                 20	                 27	                 19	                  8	                 32	                  4	                 47	                 31	                 23	                  0	                 39	                 37	                 31	                 13	                 24
 40	                  5	                  3	                 41	                 24	                 24	                 18	                 43	                 39	                  6	                 22	                 23	                  3	                 47	                 47	                  1	                 16	                 31	                 46	                  5	                 18	                 15	                 39	                 21	                 42	                  0	                 41	                 48	                 37	                  6	                 13	                 13	                 17	                 10	                 46	                  8	                 29	                 31	                 32	                 30	                 32	                  0	                 47	                 31	                 32	                 42	                  7	                 25	                  2	                 22	                 39
 41	                  9	                 40	                 41	                 24	                 38	                 18	                 37	                 17	                  6	                  9	                 23	                  3	                 34	                 47	                 19	                 29	                 42	                 32	                 11	                 38	                 33	                 36	                 33	                  5	                  0	                 28	                 48	                  6	                  6	                 31	                  3	                 14	                 25	                 46	                 21	                 36	                 23	                 38	                  4	                 32	                 34	                 42	                 16	                 32	                 20	                 45	                 39	                  2	                 27	                  8
 42	                 19	                 40	                 26	                  1	                 17	                  0	                 43	                 17	                 46	                  9	                 23	                  6	                 34	                 46	                 19	                 29	                 27	                 32	                 11	                  3	                 33	                 39	                 33	                 14	                 41	                 10	                 40	                 34	                 34	                 31	                  4	                 17	                 16	                 38	                 21	                 14	                 23	                 29	                 34	                  0	                  8	                 38	                 48	                 25	                 31	                 45	                 13	                  2	                  3	                 18
 43	                 30	                 40	                 11	                  2	                  1	                 47	                 28	                 34	                 30	                  9	                  5	                 14	                 34	                  3	                 41	                 37	                  2	                 16	                 14	                  1	                 20	                 25	                 14	                 14	                 41	                 23	                 40	                 27	                  9	                 39	                 23	                 17	                 27	                 38	                 36	                 48	                 46	                 29	                 34	                 32	                 38	                 49	                 46	                 14	                 46	                 41	                 13	                  2	                  7	                 33
 44	                 46	                 27	                 22	                 24	                  2	                  0	                 27	                 34	                 42	                 37	                 15	                 33	                 46	                 11	                 41	                 37	                 15	                  3	                 18	                  1	                 20	                 31	                 32	                 40	                 48	                 29	                 13	                 27	                 33	                 20	                 19	                 15	                  1	                 10	                 43	                 23	                 22	                 29	                 48	                  5	                 14	                  5	                 23	                  1	                 46	                 41	                  1	                 21	                  3	                 41
