# t	                 0#	                 1#	                 2#	                 3#	                 4#	                 5#	                 6#	                 7#	                 8#	                 9#	                10#	                11#	                12#	                13#	                14#	                15#	                16#	                17#	                18#	                19#	                20#	                21#	                22#	                23#	                24#	                25#	                26#	                27#	                28#	                29#	                30#	                31#	                32#	                33#	                34#	                35#	                36#	                37#	                38#	                39#	                40#	                41#	                42#	                43#	                44#	                45#	                46#	                47#	                48#	                49#
# credit_channels
  0	                  2	                  4	                  2	                  5	                  6	                  4	                  3	                  3	                  4	                  6	                  2	                  4	                  2	                  5	                  3	                  2	                  2	                  2	                  5	                  3	                  5	                  4	                  6	                  2	                  5	                  3	                  4	                  4	                  3	                  4	                  3	                  4	                  5	                  5	                  2	                  3	                  2	                  1	                  3	                  2	                  7	                  4	                  5	                  4	                  4	                  1	                  2	                  4	                  2	                  4
  1	                  7	                  6	                  2	                  1	                  5	                  1	                  2	                  4	                  3	                  4	                  8	                  6	                  4	                  4	                  4	                  3	                  8	                  4	                  0	                  4	                  5	                  5	                  1	                  4	                  8	                  5	                  8	                  5	                  2	                  4	                  4	                  5	                  3	                  6	                  8	                  8	                  4	                  4	                  4	                  3	                  6	                  5	                  5	                  3	                  4	                  2	                  2	                  2	                  5	                  4
  2	                  3	                  4	                  4	                  8	                  7	                  1	                  5	                  4	                  4	                  2	                  3	                  9	                  0	                  9	                  3	                  2	                  3	                  5	                  4	                  6	                  2	                  5	                  4	                  3	                  8	                  7	                  5	                  3	                  5	                  4	                  5	                  3	                  4	                  5	                  6	                  2	                  3	                  6	                  4	                  7	                  3	                  3	                  3	                  5	                  6	                  3	                  1	                  3	                  6	                  2
  3	                  4	                  7	                  5	                  3	                  3	                  1	                  4	                  0	                  1	                  6	                  2	                  5	                  5	                  2	                  3	                  1	                  4	                  4	                  4	                  5	                  6	                  2	                  4	                  3	                  5	                  5	                  5	                  8	                  2	                  2	                  4	                  3	                  6	                  2	                  2	                  1	                  5	                  2	                  3	                  4	                  6	                  4	                  0	                  5	                  7	                  4	                  7	                  1	                  4	                  3
  4	                  3	                  3	                  1	                  5	                  6	                  8	                  3	                  2	                  7	                  3	                  6	                  4	                  3	                  4	                  3	                  5	                  3	                  7	                  3	                  4	                  4	                  5	                  3	                  1	                  5	                  6	                  1	                  1	                  5	                  4	                  4	                  2	                  3	                  1	                  6	                  8	                  2	                  3	                  2	                  4	                  2	                  1	                  1	                  4	                  3	                  8	                  3	                  4	                  4	                  2
  5	                  4	                  5	                  2	                  4	                  3	                  3	                  5	                  4	                  3	                  2	                  2	                  6	                  3	                  3	                  6	                  2	                  5	                  7	                  3	                  5	                  1	                  5	                  3	                  1	                  3	                  0	                  5	                  6	                  4	                  2	                  3	                  2	                  1	                  5	                  2	                  3	                  3	                  3	                  6	                  4	                  3	                  3	                  1	                  4	                  4	                  4	                  4	                  3	                  6	                  2
  6	                  5	                  6	                  7	                  2	                  5	                  3	                  5	                  5	                  1	                  6	                  2	                  3	                  1	                  6	                  3	                  5	                  2	                  4	                  3	                  4	                  1	                  2	                  1	                  6	                  4	                  1	                  6	                  3	                  2	                  4	                  4	                  1	                  0	                  4	                  4	                  5	                  4	                  3	                  3	                  2	                  3	                  1	                  4	                  1	                  2	                 10	                  3	                  2	                  1	                  6
  7	                  4	                  4	                  7	                  5	                  6	                  4	                  4	                  4	                  2	                  2	                  2	                  2	                  5	                  6	                  1	                  7	                  0	                  5	                  3	                  2	                  4	                  6	                  2	                  1	                  3	                  2	                  1	                  4	                  4	                  7	                  5	                  2	                  4	                  1	                  3	                  7	                  6	                  3	                  3	                  4	                  3	                  2	                  2	                  1	                  5	                  5	                  0	                  5	                  1	                  2
  8	                  5	                  1	                  2	                  6	                  1	                  2	                  1	                  3	                  2	                  4	                  2	                  3	                  5	                  5	                  4	                  3	                  3	                  5	                  3	                  3	                  3	                  5	                  4	                  6	                  3	                  0	                  0	                  2	                  5	                  0	                  2	                  6	                  3	                  8	                  5	                  3	                  4	                  4	                  2	                  3	                  3	                  1	                  3	                  3	                  5	                  4	                  5	                  4	                  4	                  2
  9	                  4	                  2	                  6	                  3	                  1	                  2	                  2	                  2	                  3	                  3	                  0	                  2	                  2	                  4	                  2	                  7	                  3	                  1	                  2	                  2	                  5	                  3	                  8	                  4	                  2	                  4	                  1	                  5	                  4	                  2	                  5	                  5	                  3	                  2	                  5	                  3	                  2	                  2	                  7	                  2	                  4	                  3	                  3	                  0	                  0	                  5	                  5	                  6	                  3	                  5
